date,open,high,low,close,volume
2017-02-13,232.080000,233.070000,232.050000,232.770000,55182050
2017-02-14,232.560000,233.710000,232.160000,233.700000,71108983
2017-02-15,233.450000,235.140000,233.390000,234.920000,86785826
2017-02-16,234.960000,235.155000,233.850000,234.720000,84722437
2017-02-17,233.950000,235.090000,233.930000,235.090000,77204104
2017-02-21,235.520000,236.690000,235.510000,236.490000,88946051
2017-02-22,236.020000,236.540000,235.830000,236.280000,62115185
2017-02-23,236.880000,236.900000,235.560000,236.440000,74615902
2017-02-24,235.460000,236.793200,235.410000,236.740000,82381612
2017-02-27,236.640000,237.310000,236.350000,237.110000,56515440
2017-02-28,236.670000,236.950000,236.015000,236.470000,96961938
2017-03-01,238.390000,240.320000,238.370000,239.780000,149158170
2017-03-02,239.560000,239.570000,238.210000,238.270000,70245978
2017-03-03,238.170000,238.610000,237.730000,238.420000,81974300
2017-03-06,237.500000,238.120000,237.010000,237.710000,55391533
2017-03-07,237.360000,237.770000,236.760000,237.000000,65103737
2017-03-08,237.340000,237.640000,236.400000,236.560000,78168795
2017-03-09,236.700000,237.240000,235.740000,236.860000,90683918
2017-03-10,237.970000,238.020000,236.590000,237.690000,81991652
2017-03-13,237.620000,237.860000,237.240000,237.810000,57256824
2017-03-14,237.180000,237.240000,236.190000,236.900000,59880778
2017-03-15,237.560000,239.440000,237.290000,238.950000,96081750
2017-03-16,239.110000,239.200000,238.100000,238.480000,78343951
2017-03-17,237.750000,237.970000,237.030000,237.030000,89002111
2017-03-20,237.030000,237.360000,236.320000,236.770000,52536979
2017-03-21,237.470000,237.610000,233.580000,233.730000,131809275
2017-03-22,233.770000,234.610000,233.050000,234.280000,97569204
2017-03-23,234.000000,235.340000,233.600000,234.030000,100410277
2017-03-24,234.380000,235.040000,232.960000,233.860000,112504853
2017-03-27,231.930000,233.920000,231.610000,233.620000,87454452
2017-03-28,233.270000,235.810000,233.140000,235.320000,93483915
2017-03-29,234.990000,235.810000,234.725000,235.540000,61950354
2017-03-30,235.470000,236.520000,235.270000,236.290000,56737890
2017-03-31,235.900000,236.510000,235.680000,235.740000,73733094
2017-04-03,235.800000,236.030000,233.910000,235.330000,85546486
2017-04-04,235.000000,235.580000,234.555000,235.480000,56466195
